Temps(s), Température(K), Énergie (J), IntRapides (AD), IntLentes (AD), IntTot(AD), NeutÉmis (AD)
0.000000000000000000e+00,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e+00,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000044e+00,2.931855555555555384e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01
1.399999999999999911e+00,2.932206944439703875e+02,5.157231750000001966e+02,2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01
1.500000000000000000e+00,2.933099103747848062e+02,1.203354075000000648e+03,6.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01
1.600000000000000089e+00,2.933299999172835442e+02,1.604472100000000410e+03,7.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,4.300000000000000000e+01
1.699999999999999956e+00,2.934388817857947060e+02,2.177497850000000199e+03,1.200000000000000000e+01,4.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,5.300000000000000000e+01
1.800000000000000044e+00,2.935470011310271161e+02,3.323549350000000686e+03,1.600000000000000000e+01,6.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00,6.300000000000000000e+01
1.899999999999999911e+00,2.936551463453536144e+02,4.813416300000001684e+03,2.000000000000000000e+01,8.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,7.300000000000000000e+01
2.000000000000000000e+00,2.938338257343467035e+02,7.048216725000002043e+03,2.700000000000000000e+01,1.100000000000000000e+01,3.800000000000000000e+01,0.000000000000000000e+00,8.300000000000000000e+01
2.100000000000000089e+00,2.939595554836852216e+02,1.014255577500000618e+04,3.000000000000000000e+01,1.500000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00,9.300000000000000000e+01
2.200000000000000178e+00,2.941216412331483525e+02,1.289307937500000480e+04,3.500000000000000000e+01,1.900000000000000000e+01,5.400000000000000000e+01,0.000000000000000000e+00,1.030000000000000000e+02
2.299999999999999822e+00,2.943556520814712485e+02,1.570090555000000313e+04,4.000000000000000000e+01,2.700000000000000000e+01,6.700000000000000000e+01,0.000000000000000000e+00,1.130000000000000000e+02
2.399999999999999911e+00,2.944851272059439111e+02,1.913906005000000732e+04,4.300000000000000000e+01,3.100000000000000000e+01,7.400000000000000000e+01,0.000000000000000000e+00,1.230000000000000000e+02
