Temps(s), Temp�rature(K), �nergie (J), IntRapides (AD), IntLentes (AD), IntTot(AD), Neut�mis (AD)
0.000000000000000000e+00,2.931499999999999773e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,2.932209722215111469e+02,1.719077250000000845e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01
2.000000000000000111e-01,2.932562499990518745e+02,5.157231750000003103e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.000000000000000444e-01,2.932737499988148215e+02,8.595386250000005930e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.000000000000000222e-01,2.933266666654814685e+02,1.375261800000000903e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
5.000000000000000000e-01,2.933261111099259324e+02,2.062892700000001241e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
6.000000000000000888e-01,2.933434259245037197e+02,2.635918450000000576e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
7.000000000000000666e-01,2.933606481464888702e+02,3.323549349999999777e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
8.000000000000000444e-01,2.933600925909333341e+02,4.011180249999998978e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
9.000000000000000222e-01,2.933595370353777980e+02,4.698811150000000453e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
